,data,Subject,clip,label,onset_frame,apex_frame,offset_frame,onset_frame_path,apex_frame_path,offset_frame_path,data_sub,Estimated Emotion
12,casme2,sub01,EP04_03,4,31,39,56,casme2/sub01/EP04_03/img31.jpg,casme2/sub01/EP04_03/img39.jpg,casme2/sub01/EP04_03/img56.jpg,casme2_sub01,others
13,casme2,sub01,EP04_03,4,31,40,56,casme2/sub01/EP04_03/img31.jpg,casme2/sub01/EP04_03/img40.jpg,casme2/sub01/EP04_03/img56.jpg,casme2_sub01,others
14,casme2,sub01,EP04_03,4,31,42,56,casme2/sub01/EP04_03/img31.jpg,casme2/sub01/EP04_03/img42.jpg,casme2/sub01/EP04_03/img56.jpg,casme2_sub01,others
15,casme2,sub01,EP04_03,4,31,43,56,casme2/sub01/EP04_03/img31.jpg,casme2/sub01/EP04_03/img43.jpg,casme2/sub01/EP04_03/img56.jpg,casme2_sub01,others
16,casme2,sub01,EP04_04,4,23,47,66,casme2/sub01/EP04_04/img23.jpg,casme2/sub01/EP04_04/img47.jpg,casme2/sub01/EP04_04/img66.jpg,casme2_sub01,others
17,casme2,sub01,EP04_04,4,23,48,66,casme2/sub01/EP04_04/img23.jpg,casme2/sub01/EP04_04/img48.jpg,casme2/sub01/EP04_04/img66.jpg,casme2_sub01,others
18,casme2,sub01,EP04_04,4,23,50,66,casme2/sub01/EP04_04/img23.jpg,casme2/sub01/EP04_04/img50.jpg,casme2/sub01/EP04_04/img66.jpg,casme2_sub01,others
19,casme2,sub01,EP04_04,4,23,51,66,casme2/sub01/EP04_04/img23.jpg,casme2/sub01/EP04_04/img51.jpg,casme2/sub01/EP04_04/img66.jpg,casme2_sub01,others
20,casme2,sub01,EP19_01,4,26,47,66,casme2/sub01/EP19_01/img26.jpg,casme2/sub01/EP19_01/img47.jpg,casme2/sub01/EP19_01/img66.jpg,casme2_sub01,others
21,casme2,sub01,EP19_01,4,26,48,66,casme2/sub01/EP19_01/img26.jpg,casme2/sub01/EP19_01/img48.jpg,casme2/sub01/EP19_01/img66.jpg,casme2_sub01,others
22,casme2,sub01,EP19_01,4,26,50,66,casme2/sub01/EP19_01/img26.jpg,casme2/sub01/EP19_01/img50.jpg,casme2/sub01/EP19_01/img66.jpg,casme2_sub01,others
23,casme2,sub01,EP19_01,4,26,51,66,casme2/sub01/EP19_01/img26.jpg,casme2/sub01/EP19_01/img51.jpg,casme2/sub01/EP19_01/img66.jpg,casme2_sub01,others
24,casme2,sub01,EP19_03f,4,81,94,161,casme2/sub01/EP19_03f/img81.jpg,casme2/sub01/EP19_03f/img94.jpg,casme2/sub01/EP19_03f/img161.jpg,casme2_sub01,others
25,casme2,sub01,EP19_03f,4,81,95,161,casme2/sub01/EP19_03f/img81.jpg,casme2/sub01/EP19_03f/img95.jpg,casme2/sub01/EP19_03f/img161.jpg,casme2_sub01,others
26,casme2,sub01,EP19_03f,4,81,97,161,casme2/sub01/EP19_03f/img81.jpg,casme2/sub01/EP19_03f/img97.jpg,casme2/sub01/EP19_03f/img161.jpg,casme2_sub01,others
27,casme2,sub01,EP19_03f,4,81,98,161,casme2/sub01/EP19_03f/img81.jpg,casme2/sub01/EP19_03f/img98.jpg,casme2/sub01/EP19_03f/img161.jpg,casme2_sub01,others
28,casme2,sub01,EP19_05f,0,396,414,446,casme2/sub01/EP19_05f/img396.jpg,casme2/sub01/EP19_05f/img414.jpg,casme2/sub01/EP19_05f/img446.jpg,casme2_sub01,disgust
29,casme2,sub01,EP19_05f,0,396,415,446,casme2/sub01/EP19_05f/img396.jpg,casme2/sub01/EP19_05f/img415.jpg,casme2/sub01/EP19_05f/img446.jpg,casme2_sub01,disgust
30,casme2,sub01,EP19_05f,0,396,417,446,casme2/sub01/EP19_05f/img396.jpg,casme2/sub01/EP19_05f/img417.jpg,casme2/sub01/EP19_05f/img446.jpg,casme2_sub01,disgust
31,casme2,sub01,EP19_05f,0,396,418,446,casme2/sub01/EP19_05f/img396.jpg,casme2/sub01/EP19_05f/img418.jpg,casme2/sub01/EP19_05f/img446.jpg,casme2_sub01,disgust
32,casme2,sub01,EP19_06f,0,36,69,161,casme2/sub01/EP19_06f/img36.jpg,casme2/sub01/EP19_06f/img69.jpg,casme2/sub01/EP19_06f/img161.jpg,casme2_sub01,disgust
33,casme2,sub01,EP19_06f,0,36,70,161,casme2/sub01/EP19_06f/img36.jpg,casme2/sub01/EP19_06f/img70.jpg,casme2/sub01/EP19_06f/img161.jpg,casme2_sub01,disgust
34,casme2,sub01,EP19_06f,0,36,72,161,casme2/sub01/EP19_06f/img36.jpg,casme2/sub01/EP19_06f/img72.jpg,casme2/sub01/EP19_06f/img161.jpg,casme2_sub01,disgust
35,casme2,sub01,EP19_06f,0,36,73,161,casme2/sub01/EP19_06f/img36.jpg,casme2/sub01/EP19_06f/img73.jpg,casme2/sub01/EP19_06f/img161.jpg,casme2_sub01,disgust
36,casme2,sub02,EP01_11f,3,46,89,96,casme2/sub02/EP01_11f/img46.jpg,casme2/sub02/EP01_11f/img89.jpg,casme2/sub02/EP01_11f/img96.jpg,casme2_sub02,repression
37,casme2,sub02,EP01_11f,3,46,90,96,casme2/sub02/EP01_11f/img46.jpg,casme2/sub02/EP01_11f/img90.jpg,casme2/sub02/EP01_11f/img96.jpg,casme2_sub02,repression
38,casme2,sub02,EP01_11f,3,46,92,96,casme2/sub02/EP01_11f/img46.jpg,casme2/sub02/EP01_11f/img92.jpg,casme2/sub02/EP01_11f/img96.jpg,casme2_sub02,repression
39,casme2,sub02,EP01_11f,3,46,93,96,casme2/sub02/EP01_11f/img46.jpg,casme2/sub02/EP01_11f/img93.jpg,casme2/sub02/EP01_11f/img96.jpg,casme2_sub02,repression
40,casme2,sub02,EP02_04f,3,31,77,141,casme2/sub02/EP02_04f/img31.jpg,casme2/sub02/EP02_04f/img77.jpg,casme2/sub02/EP02_04f/img141.jpg,casme2_sub02,repression
41,casme2,sub02,EP02_04f,3,31,78,141,casme2/sub02/EP02_04f/img31.jpg,casme2/sub02/EP02_04f/img78.jpg,casme2/sub02/EP02_04f/img141.jpg,casme2_sub02,repression
42,casme2,sub02,EP02_04f,3,31,80,141,casme2/sub02/EP02_04f/img31.jpg,casme2/sub02/EP02_04f/img80.jpg,casme2/sub02/EP02_04f/img141.jpg,casme2_sub02,repression
43,casme2,sub02,EP02_04f,3,31,81,141,casme2/sub02/EP02_04f/img31.jpg,casme2/sub02/EP02_04f/img81.jpg,casme2/sub02/EP02_04f/img141.jpg,casme2_sub02,repression
44,casme2,sub02,EP03_02f,3,16,79,136,casme2/sub02/EP03_02f/img16.jpg,casme2/sub02/EP03_02f/img79.jpg,casme2/sub02/EP03_02f/img136.jpg,casme2_sub02,repression
45,casme2,sub02,EP03_02f,3,16,80,136,casme2/sub02/EP03_02f/img16.jpg,casme2/sub02/EP03_02f/img80.jpg,casme2/sub02/EP03_02f/img136.jpg,casme2_sub02,repression
46,casme2,sub02,EP03_02f,3,16,82,136,casme2/sub02/EP03_02f/img16.jpg,casme2/sub02/EP03_02f/img82.jpg,casme2/sub02/EP03_02f/img136.jpg,casme2_sub02,repression
47,casme2,sub02,EP03_02f,3,16,83,136,casme2/sub02/EP03_02f/img16.jpg,casme2/sub02/EP03_02f/img83.jpg,casme2/sub02/EP03_02f/img136.jpg,casme2_sub02,repression
48,casme2,sub02,EP06_01f,3,56,119,155,casme2/sub02/EP06_01f/img56.jpg,casme2/sub02/EP06_01f/img119.jpg,casme2/sub02/EP06_01f/img155.jpg,casme2_sub02,repression
49,casme2,sub02,EP06_01f,3,56,120,155,casme2/sub02/EP06_01f/img56.jpg,casme2/sub02/EP06_01f/img120.jpg,casme2/sub02/EP06_01f/img155.jpg,casme2_sub02,repression
50,casme2,sub02,EP06_01f,3,56,122,155,casme2/sub02/EP06_01f/img56.jpg,casme2/sub02/EP06_01f/img122.jpg,casme2/sub02/EP06_01f/img155.jpg,casme2_sub02,repression
51,casme2,sub02,EP06_01f,3,56,123,155,casme2/sub02/EP06_01f/img56.jpg,casme2/sub02/EP06_01f/img123.jpg,casme2/sub02/EP06_01f/img155.jpg,casme2_sub02,repression
52,casme2,sub02,EP06_02f,3,36,62,111,casme2/sub02/EP06_02f/img36.jpg,casme2/sub02/EP06_02f/img62.jpg,casme2/sub02/EP06_02f/img111.jpg,casme2_sub02,repression
53,casme2,sub02,EP06_02f,3,36,63,111,casme2/sub02/EP06_02f/img36.jpg,casme2/sub02/EP06_02f/img63.jpg,casme2/sub02/EP06_02f/img111.jpg,casme2_sub02,repression
54,casme2,sub02,EP06_02f,3,36,65,111,casme2/sub02/EP06_02f/img36.jpg,casme2/sub02/EP06_02f/img65.jpg,casme2/sub02/EP06_02f/img111.jpg,casme2_sub02,repression
55,casme2,sub02,EP06_02f,3,36,66,111,casme2/sub02/EP06_02f/img36.jpg,casme2/sub02/EP06_02f/img66.jpg,casme2/sub02/EP06_02f/img111.jpg,casme2_sub02,repression
56,casme2,sub02,EP08_04,4,16,67,106,casme2/sub02/EP08_04/img16.jpg,casme2/sub02/EP08_04/img67.jpg,casme2/sub02/EP08_04/img106.jpg,casme2_sub02,others
57,casme2,sub02,EP08_04,4,16,68,106,casme2/sub02/EP08_04/img16.jpg,casme2/sub02/EP08_04/img68.jpg,casme2/sub02/EP08_04/img106.jpg,casme2_sub02,others
58,casme2,sub02,EP08_04,4,16,70,106,casme2/sub02/EP08_04/img16.jpg,casme2/sub02/EP08_04/img70.jpg,casme2/sub02/EP08_04/img106.jpg,casme2_sub02,others
59,casme2,sub02,EP08_04,4,16,71,106,casme2/sub02/EP08_04/img16.jpg,casme2/sub02/EP08_04/img71.jpg,casme2/sub02/EP08_04/img106.jpg,casme2_sub02,others
60,casme2,sub02,EP09_01,1,26,54,125,casme2/sub02/EP09_01/img26.jpg,casme2/sub02/EP09_01/img54.jpg,casme2/sub02/EP09_01/img125.jpg,casme2_sub02,happiness
61,casme2,sub02,EP09_01,1,26,55,125,casme2/sub02/EP09_01/img26.jpg,casme2/sub02/EP09_01/img55.jpg,casme2/sub02/EP09_01/img125.jpg,casme2_sub02,happiness
62,casme2,sub02,EP09_01,1,26,57,125,casme2/sub02/EP09_01/img26.jpg,casme2/sub02/EP09_01/img57.jpg,casme2/sub02/EP09_01/img125.jpg,casme2_sub02,happiness
63,casme2,sub02,EP09_01,1,26,58,125,casme2/sub02/EP09_01/img26.jpg,casme2/sub02/EP09_01/img58.jpg,casme2/sub02/EP09_01/img125.jpg,casme2_sub02,happiness
64,casme2,sub02,EP09_06f,4,11,47,151,casme2/sub02/EP09_06f/img11.jpg,casme2/sub02/EP09_06f/img47.jpg,casme2/sub02/EP09_06f/img151.jpg,casme2_sub02,others
65,casme2,sub02,EP09_06f,4,11,48,151,casme2/sub02/EP09_06f/img11.jpg,casme2/sub02/EP09_06f/img48.jpg,casme2/sub02/EP09_06f/img151.jpg,casme2_sub02,others
66,casme2,sub02,EP09_06f,4,11,50,151,casme2/sub02/EP09_06f/img11.jpg,casme2/sub02/EP09_06f/img50.jpg,casme2/sub02/EP09_06f/img151.jpg,casme2_sub02,others
67,casme2,sub02,EP09_06f,4,11,51,151,casme2/sub02/EP09_06f/img11.jpg,casme2/sub02/EP09_06f/img51.jpg,casme2/sub02/EP09_06f/img151.jpg,casme2_sub02,others
68,casme2,sub02,EP09_10,4,26,34,66,casme2/sub02/EP09_10/img26.jpg,casme2/sub02/EP09_10/img34.jpg,casme2/sub02/EP09_10/img66.jpg,casme2_sub02,others
69,casme2,sub02,EP09_10,4,26,35,66,casme2/sub02/EP09_10/img26.jpg,casme2/sub02/EP09_10/img35.jpg,casme2/sub02/EP09_10/img66.jpg,casme2_sub02,others
70,casme2,sub02,EP09_10,4,26,37,66,casme2/sub02/EP09_10/img26.jpg,casme2/sub02/EP09_10/img37.jpg,casme2/sub02/EP09_10/img66.jpg,casme2_sub02,others
71,casme2,sub02,EP09_10,4,26,38,66,casme2/sub02/EP09_10/img26.jpg,casme2/sub02/EP09_10/img38.jpg,casme2/sub02/EP09_10/img66.jpg,casme2_sub02,others
72,casme2,sub02,EP11_01,2,16,67,106,casme2/sub02/EP11_01/img16.jpg,casme2/sub02/EP11_01/img67.jpg,casme2/sub02/EP11_01/img106.jpg,casme2_sub02,surprise
73,casme2,sub02,EP11_01,2,16,68,106,casme2/sub02/EP11_01/img16.jpg,casme2/sub02/EP11_01/img68.jpg,casme2/sub02/EP11_01/img106.jpg,casme2_sub02,surprise
74,casme2,sub02,EP11_01,2,16,70,106,casme2/sub02/EP11_01/img16.jpg,casme2/sub02/EP11_01/img70.jpg,casme2/sub02/EP11_01/img106.jpg,casme2_sub02,surprise
75,casme2,sub02,EP11_01,2,16,71,106,casme2/sub02/EP11_01/img16.jpg,casme2/sub02/EP11_01/img71.jpg,casme2/sub02/EP11_01/img106.jpg,casme2_sub02,surprise
76,casme2,sub02,EP13_04,2,21,49,76,casme2/sub02/EP13_04/img21.jpg,casme2/sub02/EP13_04/img49.jpg,casme2/sub02/EP13_04/img76.jpg,casme2_sub02,surprise
77,casme2,sub02,EP13_04,2,21,50,76,casme2/sub02/EP13_04/img21.jpg,casme2/sub02/EP13_04/img50.jpg,casme2/sub02/EP13_04/img76.jpg,casme2_sub02,surprise
78,casme2,sub02,EP13_04,2,21,52,76,casme2/sub02/EP13_04/img21.jpg,casme2/sub02/EP13_04/img52.jpg,casme2/sub02/EP13_04/img76.jpg,casme2_sub02,surprise
79,casme2,sub02,EP13_04,2,21,53,76,casme2/sub02/EP13_04/img21.jpg,casme2/sub02/EP13_04/img53.jpg,casme2/sub02/EP13_04/img76.jpg,casme2_sub02,surprise
80,casme2,sub02,EP14_01,2,81,112,126,casme2/sub02/EP14_01/img81.jpg,casme2/sub02/EP14_01/img112.jpg,casme2/sub02/EP14_01/img126.jpg,casme2_sub02,surprise
81,casme2,sub02,EP14_01,2,81,113,126,casme2/sub02/EP14_01/img81.jpg,casme2/sub02/EP14_01/img113.jpg,casme2/sub02/EP14_01/img126.jpg,casme2_sub02,surprise
82,casme2,sub02,EP14_01,2,81,115,126,casme2/sub02/EP14_01/img81.jpg,casme2/sub02/EP14_01/img115.jpg,casme2/sub02/EP14_01/img126.jpg,casme2_sub02,surprise
83,casme2,sub02,EP14_01,2,81,116,126,casme2/sub02/EP14_01/img81.jpg,casme2/sub02/EP14_01/img116.jpg,casme2/sub02/EP14_01/img126.jpg,casme2_sub02,surprise
84,casme2,sub02,EP15_04,4,26,64,96,casme2/sub02/EP15_04/img26.jpg,casme2/sub02/EP15_04/img64.jpg,casme2/sub02/EP15_04/img96.jpg,casme2_sub02,others
85,casme2,sub02,EP15_04,4,26,65,96,casme2/sub02/EP15_04/img26.jpg,casme2/sub02/EP15_04/img65.jpg,casme2/sub02/EP15_04/img96.jpg,casme2_sub02,others
86,casme2,sub02,EP15_04,4,26,67,96,casme2/sub02/EP15_04/img26.jpg,casme2/sub02/EP15_04/img67.jpg,casme2/sub02/EP15_04/img96.jpg,casme2_sub02,others
87,casme2,sub02,EP15_04,4,26,68,96,casme2/sub02/EP15_04/img26.jpg,casme2/sub02/EP15_04/img68.jpg,casme2/sub02/EP15_04/img96.jpg,casme2_sub02,others
88,casme2,sub03,EP01_2,2,51,67,91,casme2/sub03/EP01_2/img51.jpg,casme2/sub03/EP01_2/img67.jpg,casme2/sub03/EP01_2/img91.jpg,casme2_sub03,surprise
89,casme2,sub03,EP01_2,2,51,68,91,casme2/sub03/EP01_2/img51.jpg,casme2/sub03/EP01_2/img68.jpg,casme2/sub03/EP01_2/img91.jpg,casme2_sub03,surprise
90,casme2,sub03,EP01_2,2,51,70,91,casme2/sub03/EP01_2/img51.jpg,casme2/sub03/EP01_2/img70.jpg,casme2/sub03/EP01_2/img91.jpg,casme2_sub03,surprise
91,casme2,sub03,EP01_2,2,51,71,91,casme2/sub03/EP01_2/img51.jpg,casme2/sub03/EP01_2/img71.jpg,casme2/sub03/EP01_2/img91.jpg,casme2_sub03,surprise
92,casme2,sub03,EP07_03,4,16,44,76,casme2/sub03/EP07_03/img16.jpg,casme2/sub03/EP07_03/img44.jpg,casme2/sub03/EP07_03/img76.jpg,casme2_sub03,others
93,casme2,sub03,EP07_03,4,16,45,76,casme2/sub03/EP07_03/img16.jpg,casme2/sub03/EP07_03/img45.jpg,casme2/sub03/EP07_03/img76.jpg,casme2_sub03,others
94,casme2,sub03,EP07_03,4,16,47,76,casme2/sub03/EP07_03/img16.jpg,casme2/sub03/EP07_03/img47.jpg,casme2/sub03/EP07_03/img76.jpg,casme2_sub03,others
95,casme2,sub03,EP07_03,4,16,48,76,casme2/sub03/EP07_03/img16.jpg,casme2/sub03/EP07_03/img48.jpg,casme2/sub03/EP07_03/img76.jpg,casme2_sub03,others
96,casme2,sub03,EP07_04,0,21,79,106,casme2/sub03/EP07_04/img21.jpg,casme2/sub03/EP07_04/img79.jpg,casme2/sub03/EP07_04/img106.jpg,casme2_sub03,disgust
97,casme2,sub03,EP07_04,0,21,80,106,casme2/sub03/EP07_04/img21.jpg,casme2/sub03/EP07_04/img80.jpg,casme2/sub03/EP07_04/img106.jpg,casme2_sub03,disgust
98,casme2,sub03,EP07_04,0,21,82,106,casme2/sub03/EP07_04/img21.jpg,casme2/sub03/EP07_04/img82.jpg,casme2/sub03/EP07_04/img106.jpg,casme2_sub03,disgust
99,casme2,sub03,EP07_04,0,21,83,106,casme2/sub03/EP07_04/img21.jpg,casme2/sub03/EP07_04/img83.jpg,casme2/sub03/EP07_04/img106.jpg,casme2_sub03,disgust
100,casme2,sub03,EP08_1,4,11,42,91,casme2/sub03/EP08_1/img11.jpg,casme2/sub03/EP08_1/img42.jpg,casme2/sub03/EP08_1/img91.jpg,casme2_sub03,others
101,casme2,sub03,EP08_1,4,11,43,91,casme2/sub03/EP08_1/img11.jpg,casme2/sub03/EP08_1/img43.jpg,casme2/sub03/EP08_1/img91.jpg,casme2_sub03,others
102,casme2,sub03,EP08_1,4,11,45,91,casme2/sub03/EP08_1/img11.jpg,casme2/sub03/EP08_1/img45.jpg,casme2/sub03/EP08_1/img91.jpg,casme2_sub03,others
103,casme2,sub03,EP08_1,4,11,46,91,casme2/sub03/EP08_1/img11.jpg,casme2/sub03/EP08_1/img46.jpg,casme2/sub03/EP08_1/img91.jpg,casme2_sub03,others
104,casme2,sub03,EP09_03,0,61,74,121,casme2/sub03/EP09_03/img61.jpg,casme2/sub03/EP09_03/img74.jpg,casme2/sub03/EP09_03/img121.jpg,casme2_sub03,disgust
105,casme2,sub03,EP09_03,0,61,75,121,casme2/sub03/EP09_03/img61.jpg,casme2/sub03/EP09_03/img75.jpg,casme2/sub03/EP09_03/img121.jpg,casme2_sub03,disgust
106,casme2,sub03,EP09_03,0,61,77,121,casme2/sub03/EP09_03/img61.jpg,casme2/sub03/EP09_03/img77.jpg,casme2/sub03/EP09_03/img121.jpg,casme2_sub03,disgust
107,casme2,sub03,EP09_03,0,61,78,121,casme2/sub03/EP09_03/img61.jpg,casme2/sub03/EP09_03/img78.jpg,casme2/sub03/EP09_03/img121.jpg,casme2_sub03,disgust
108,casme2,sub03,EP18_06,0,26,79,126,casme2/sub03/EP18_06/img26.jpg,casme2/sub03/EP18_06/img79.jpg,casme2/sub03/EP18_06/img126.jpg,casme2_sub03,disgust
109,casme2,sub03,EP18_06,0,26,80,126,casme2/sub03/EP18_06/img26.jpg,casme2/sub03/EP18_06/img80.jpg,casme2/sub03/EP18_06/img126.jpg,casme2_sub03,disgust
110,casme2,sub03,EP18_06,0,26,82,126,casme2/sub03/EP18_06/img26.jpg,casme2/sub03/EP18_06/img82.jpg,casme2/sub03/EP18_06/img126.jpg,casme2_sub03,disgust
111,casme2,sub03,EP18_06,0,26,83,126,casme2/sub03/EP18_06/img26.jpg,casme2/sub03/EP18_06/img83.jpg,casme2/sub03/EP18_06/img126.jpg,casme2_sub03,disgust
112,casme2,sub03,EP19_08,0,101,119,141,casme2/sub03/EP19_08/img101.jpg,casme2/sub03/EP19_08/img119.jpg,casme2/sub03/EP19_08/img141.jpg,casme2_sub03,disgust
113,casme2,sub03,EP19_08,0,101,120,141,casme2/sub03/EP19_08/img101.jpg,casme2/sub03/EP19_08/img120.jpg,casme2/sub03/EP19_08/img141.jpg,casme2_sub03,disgust
114,casme2,sub03,EP19_08,0,101,122,141,casme2/sub03/EP19_08/img101.jpg,casme2/sub03/EP19_08/img122.jpg,casme2/sub03/EP19_08/img141.jpg,casme2_sub03,disgust
115,casme2,sub03,EP19_08,0,101,123,141,casme2/sub03/EP19_08/img101.jpg,casme2/sub03/EP19_08/img123.jpg,casme2/sub03/EP19_08/img141.jpg,casme2_sub03,disgust
116,casme2,sub04,EP12_01f,0,261,268,321,casme2/sub04/EP12_01f/img261.jpg,casme2/sub04/EP12_01f/img268.jpg,casme2/sub04/EP12_01f/img321.jpg,casme2_sub04,disgust
117,casme2,sub04,EP12_01f,0,261,269,321,casme2/sub04/EP12_01f/img261.jpg,casme2/sub04/EP12_01f/img269.jpg,casme2/sub04/EP12_01f/img321.jpg,casme2_sub04,disgust
118,casme2,sub04,EP12_01f,0,261,271,321,casme2/sub04/EP12_01f/img261.jpg,casme2/sub04/EP12_01f/img271.jpg,casme2/sub04/EP12_01f/img321.jpg,casme2_sub04,disgust
119,casme2,sub04,EP12_01f,0,261,272,321,casme2/sub04/EP12_01f/img261.jpg,casme2/sub04/EP12_01f/img272.jpg,casme2/sub04/EP12_01f/img321.jpg,casme2_sub04,disgust
120,casme2,sub04,EP12_02f,0,356,385,406,casme2/sub04/EP12_02f/img356.jpg,casme2/sub04/EP12_02f/img385.jpg,casme2/sub04/EP12_02f/img406.jpg,casme2_sub04,disgust
121,casme2,sub04,EP12_02f,0,356,386,406,casme2/sub04/EP12_02f/img356.jpg,casme2/sub04/EP12_02f/img386.jpg,casme2/sub04/EP12_02f/img406.jpg,casme2_sub04,disgust
122,casme2,sub04,EP12_02f,0,356,388,406,casme2/sub04/EP12_02f/img356.jpg,casme2/sub04/EP12_02f/img388.jpg,casme2/sub04/EP12_02f/img406.jpg,casme2_sub04,disgust
123,casme2,sub04,EP12_02f,0,356,389,406,casme2/sub04/EP12_02f/img356.jpg,casme2/sub04/EP12_02f/img389.jpg,casme2/sub04/EP12_02f/img406.jpg,casme2_sub04,disgust
124,casme2,sub04,EP13_02f,4,51,79,111,casme2/sub04/EP13_02f/img51.jpg,casme2/sub04/EP13_02f/img79.jpg,casme2/sub04/EP13_02f/img111.jpg,casme2_sub04,others
125,casme2,sub04,EP13_02f,4,51,80,111,casme2/sub04/EP13_02f/img51.jpg,casme2/sub04/EP13_02f/img80.jpg,casme2/sub04/EP13_02f/img111.jpg,casme2_sub04,others
126,casme2,sub04,EP13_02f,4,51,82,111,casme2/sub04/EP13_02f/img51.jpg,casme2/sub04/EP13_02f/img82.jpg,casme2/sub04/EP13_02f/img111.jpg,casme2_sub04,others
127,casme2,sub04,EP13_02f,4,51,83,111,casme2/sub04/EP13_02f/img51.jpg,casme2/sub04/EP13_02f/img83.jpg,casme2/sub04/EP13_02f/img111.jpg,casme2_sub04,others
128,casme2,sub04,EP13_06f,0,71,106,161,casme2/sub04/EP13_06f/img71.jpg,casme2/sub04/EP13_06f/img106.jpg,casme2/sub04/EP13_06f/img161.jpg,casme2_sub04,disgust
129,casme2,sub04,EP13_06f,0,71,107,161,casme2/sub04/EP13_06f/img71.jpg,casme2/sub04/EP13_06f/img107.jpg,casme2/sub04/EP13_06f/img161.jpg,casme2_sub04,disgust
130,casme2,sub04,EP13_06f,0,71,109,161,casme2/sub04/EP13_06f/img71.jpg,casme2/sub04/EP13_06f/img109.jpg,casme2/sub04/EP13_06f/img161.jpg,casme2_sub04,disgust
131,casme2,sub04,EP13_06f,0,71,110,161,casme2/sub04/EP13_06f/img71.jpg,casme2/sub04/EP13_06f/img110.jpg,casme2/sub04/EP13_06f/img161.jpg,casme2_sub04,disgust
132,casme2,sub04,EP19_01f,4,191,207,226,casme2/sub04/EP19_01f/img191.jpg,casme2/sub04/EP19_01f/img207.jpg,casme2/sub04/EP19_01f/img226.jpg,casme2_sub04,others
133,casme2,sub04,EP19_01f,4,191,208,226,casme2/sub04/EP19_01f/img191.jpg,casme2/sub04/EP19_01f/img208.jpg,casme2/sub04/EP19_01f/img226.jpg,casme2_sub04,others
134,casme2,sub04,EP19_01f,4,191,210,226,casme2/sub04/EP19_01f/img191.jpg,casme2/sub04/EP19_01f/img210.jpg,casme2/sub04/EP19_01f/img226.jpg,casme2_sub04,others
135,casme2,sub04,EP19_01f,4,191,211,226,casme2/sub04/EP19_01f/img191.jpg,casme2/sub04/EP19_01f/img211.jpg,casme2/sub04/EP19_01f/img226.jpg,casme2_sub04,others
136,casme2,sub05,EP02_07,2,36,64,101,casme2/sub05/EP02_07/img36.jpg,casme2/sub05/EP02_07/img64.jpg,casme2/sub05/EP02_07/img101.jpg,casme2_sub05,surprise
137,casme2,sub05,EP02_07,2,36,65,101,casme2/sub05/EP02_07/img36.jpg,casme2/sub05/EP02_07/img65.jpg,casme2/sub05/EP02_07/img101.jpg,casme2_sub05,surprise
